INDICATORS,NHS4,Total,States
 Women age 20-24 years married before age 18 years (%),"
15.*
16",21.1,Uttar Pradesh
 Men age 25-29 years married before age 21 years (%),"
16.*
17",28.7,Uttar Pradesh
 Total fertility rate (children per woman),"
17.*
18",2.7,Uttar Pradesh
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
18.*
.*
",3.8,Uttar Pradesh
 Infant mortality rate (IMR),"
19.*
20",64.0,Uttar Pradesh
 Under five mortality rate (U5MR),"
20.*
",78.0,Uttar Pradesh
 Any modern method (%),"
22.*
23",31.7,Uttar Pradesh
 Female sterilization (%),"
23.*
24",17.3,Uttar Pradesh
 Male sterilization (%),"
24.*
25",0.1,Uttar Pradesh
 Total unmet need (%),"
28.*
29",18.1,Uttar Pradesh
 Unmet need for spacing (%),"
29.*
",6.8,Uttar Pradesh
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
33.*
34",26.4,Uttar Pradesh
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
40.*
41",1956.0,Uttar Pradesh
 Institutional births (%),"43.*
44",67.8,Uttar Pradesh
 Births delivered by caesarean section (%),"
47.*
48",9.4,Uttar Pradesh
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","50.*
.*
51",51.1,Uttar Pradesh
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
57.*
.*
58",84.5,Uttar Pradesh
 Children under age 6 months exclusively breastfed (%),"
66.*
67",41.6,Uttar Pradesh
 Children under 5 years who are stunted (heightforage),"
71.*
72",46.3,Uttar Pradesh
 Children under 5 years who are wasted (weightforheight),"
72.*
73",17.9,Uttar Pradesh
 Children under 3 years who are underweight (%),"
74.*
",39.5,Uttar Pradesh
 Women who are overweight or obese (%),"
77.*
78",16.5,Uttar Pradesh
 Men who are overweight or obese (%),"
78.*
",12.5,Uttar Pradesh
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
81.*
82",51.0,Uttar Pradesh
 Currently married women who usually participate in three household decisions (%),"
101.*
102",81.7,Uttar Pradesh
 Women who worked in the last 12 months and were paid in cash (%),"
102.*
103",16.6,Uttar Pradesh
 Women owning a house and/or land (alone or jointly with others) (%),"
105.*
106",34.2,Uttar Pradesh
 Women having a bank or savings account that they themselves use (%),"
106.*
107",54.6,Uttar Pradesh
 Women having a mobile phone that they themselves use (%),"
107.*
108",37.1,Uttar Pradesh
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
108.*
.*
",47.1,Uttar Pradesh
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
103.*
104",36.7,Uttar Pradesh
 Young women age 18-29 years who experienced sexual violence by age 18,,,Uttar Pradesh
 Women who use any kind of tobacco (%),"
109.*
110",7.6,Uttar Pradesh
 Men who use any kind of tobacco (%),"
110.*
111",53.0,Uttar Pradesh
 Women who consume alcohol (%),"
111.*
112",0.2,Uttar Pradesh
 Men who consume alcohol (%),"
112.*
113",22.1,Uttar Pradesh
