INDICATORS,NHS4,Total,States
 Women age 20-24 years married before age 18 years (%),"
15.*
16",41.6,West Bengal
 Men age 25-29 years married before age 21 years (%),"
16.*
17",17.3,West Bengal
 Total fertility rate (children per woman),"
17.*
18",1.8,West Bengal
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
18.*
.*
",18.3,West Bengal
 Infant mortality rate (IMR),"
19.*
20",28.0,West Bengal
 Under five mortality rate (U5MR),"
20.*
",32.0,West Bengal
 Any modern method (%),"
22.*
23",57.0,West Bengal
 Female sterilization (%),"
23.*
24",29.3,West Bengal
 Male sterilization (%),"
24.*
25",0.1,West Bengal
 Total unmet need (%),"
28.*
29",7.5,West Bengal
 Unmet need for spacing (%),"
29.*
",3.0,West Bengal
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
33.*
34",76.4,West Bengal
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
40.*
41",7919.0,West Bengal
 Institutional births (%),"43.*
44",75.2,West Bengal
 Births delivered by caesarean section (%),"
47.*
48",23.8,West Bengal
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","50.*
.*
51",84.4,West Bengal
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
57.*
.*
58",96.6,West Bengal
 Children under age 6 months exclusively breastfed (%),"
66.*
67",52.3,West Bengal
 Children under 5 years who are stunted (heightforage),"
71.*
72",32.5,West Bengal
 Children under 5 years who are wasted (weightforheight),"
72.*
73",20.3,West Bengal
 Children under 3 years who are underweight (%),"
74.*
",31.6,West Bengal
 Women who are overweight or obese (%),"
77.*
78",19.9,West Bengal
 Men who are overweight or obese (%),"
78.*
",14.2,West Bengal
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
81.*
82",53.6,West Bengal
 Currently married women who usually participate in three household decisions (%),"
101.*
102",89.9,West Bengal
 Women who worked in the last 12 months and were paid in cash (%),"
102.*
103",22.8,West Bengal
 Women owning a house and/or land (alone or jointly with others) (%),"
105.*
106",23.8,West Bengal
 Women having a bank or savings account that they themselves use (%),"
106.*
107",43.5,West Bengal
 Women having a mobile phone that they themselves use (%),"
107.*
108",41.8,West Bengal
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
108.*
.*
",54.9,West Bengal
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
103.*
104",32.8,West Bengal
 Young women age 18-29 years who experienced sexual violence by age 18,,,West Bengal
 Women who use any kind of tobacco (%),"
109.*
110",8.7,West Bengal
 Men who use any kind of tobacco (%),"
110.*
111",58.9,West Bengal
 Women who consume alcohol (%),"
111.*
112",0.8,West Bengal
 Men who consume alcohol (%),"
112.*
113",28.7,West Bengal
