INDICATORS,NHS4,Total,States
 Women age 20-24 years married before age 18 years (%),"
15.*
16",13.8,Uttarakhand
 Men age 25-29 years married before age 21 years (%),"
16.*
17",17.1,Uttarakhand
 Total fertility rate (children per woman),"
17.*
18",2.1,Uttarakhand
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
18.*
.*
",2.8,Uttarakhand
 Infant mortality rate (IMR),"
19.*
20",40.0,Uttarakhand
 Under five mortality rate (U5MR),"
20.*
",47.0,Uttarakhand
 Any modern method (%),"
22.*
23",49.3,Uttarakhand
 Female sterilization (%),"
23.*
24",27.4,Uttarakhand
 Male sterilization (%),"
24.*
25",0.7,Uttarakhand
 Total unmet need (%),"
28.*
29",15.5,Uttarakhand
 Unmet need for spacing (%),"
29.*
",5.2,Uttarakhand
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
33.*
34",30.9,Uttarakhand
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
40.*
41",2618.0,Uttarakhand
 Institutional births (%),"43.*
44",68.6,Uttarakhand
 Births delivered by caesarean section (%),"
47.*
48",13.1,Uttarakhand
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","50.*
.*
51",57.6,Uttarakhand
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
57.*
.*
58",91.0,Uttarakhand
 Children under age 6 months exclusively breastfed (%),"
66.*
67",51.2,Uttarakhand
 Children under 5 years who are stunted (heightforage),"
71.*
72",33.5,Uttarakhand
 Children under 5 years who are wasted (weightforheight),"
72.*
73",19.5,Uttarakhand
 Children under 3 years who are underweight (%),"
74.*
",26.6,Uttarakhand
 Women who are overweight or obese (%),"
77.*
78",20.4,Uttarakhand
 Men who are overweight or obese (%),"
78.*
",17.7,Uttarakhand
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
81.*
82",46.5,Uttarakhand
 Currently married women who usually participate in three household decisions (%),"
101.*
102",89.8,Uttarakhand
 Women who worked in the last 12 months and were paid in cash (%),"
102.*
103",15.5,Uttarakhand
 Women owning a house and/or land (alone or jointly with others) (%),"
105.*
106",29.2,Uttarakhand
 Women having a bank or savings account that they themselves use (%),"
106.*
107",58.5,Uttarakhand
 Women having a mobile phone that they themselves use (%),"
107.*
108",55.4,Uttarakhand
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
108.*
.*
",69.9,Uttarakhand
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
103.*
104",12.7,Uttarakhand
 Young women age 18-29 years who experienced sexual violence by age 18,,,Uttarakhand
 Women who use any kind of tobacco (%),"
109.*
110",2.9,Uttarakhand
 Men who use any kind of tobacco (%),"
110.*
111",43.7,Uttarakhand
 Women who consume alcohol (%),"
111.*
112",0.3,Uttarakhand
 Men who consume alcohol (%),"
112.*
113",35.2,Uttarakhand
