INDICATORS,NHS4,Total,States
 Women age 20-24 years married before age 18 years (%),"
15.*
16",13.7,Manipur
 Men age 25-29 years married before age 21 years (%),"
16.*
17",15.1,Manipur
 Total fertility rate (children per woman),"
17.*
18",2.6,Manipur
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
18.*
.*
",7.4,Manipur
 Infant mortality rate (IMR),"
19.*
20",22.0,Manipur
 Under five mortality rate (U5MR),"
20.*
",26.0,Manipur
 Any modern method (%),"
22.*
23",12.7,Manipur
 Female sterilization (%),"
23.*
24",3.1,Manipur
 Male sterilization (%),"
24.*
25",0.1,Manipur
 Total unmet need (%),"
28.*
29",30.1,Manipur
 Unmet need for spacing (%),"
29.*
",12.7,Manipur
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
33.*
34",69.0,Manipur
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
40.*
41",10348.0,Manipur
 Institutional births (%),"43.*
44",69.1,Manipur
 Births delivered by caesarean section (%),"
47.*
48",21.1,Manipur
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","50.*
.*
51",65.8,Manipur
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
57.*
.*
58",92.9,Manipur
 Children under age 6 months exclusively breastfed (%),"
66.*
67",73.6,Manipur
 Children under 5 years who are stunted (heightforage),"
71.*
72",28.9,Manipur
 Children under 5 years who are wasted (weightforheight),"
72.*
73",6.8,Manipur
 Children under 3 years who are underweight (%),"
74.*
",13.8,Manipur
 Women who are overweight or obese (%),"
77.*
78",26.0,Manipur
 Men who are overweight or obese (%),"
78.*
",19.8,Manipur
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
81.*
82",26.0,Manipur
 Currently married women who usually participate in three household decisions (%),"
101.*
102",96.2,Manipur
 Women who worked in the last 12 months and were paid in cash (%),"
102.*
103",40.9,Manipur
 Women owning a house and/or land (alone or jointly with others) (%),"
105.*
106",69.9,Manipur
 Women having a bank or savings account that they themselves use (%),"
106.*
107",34.8,Manipur
 Women having a mobile phone that they themselves use (%),"
107.*
108",63.1,Manipur
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
108.*
.*
",76.1,Manipur
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
103.*
104",53.1,Manipur
 Young women age 18-29 years who experienced sexual violence by age 18,,,Manipur
 Women who use any kind of tobacco (%),"
109.*
110",48.8,Manipur
 Men who use any kind of tobacco (%),"
110.*
111",70.7,Manipur
 Women who consume alcohol (%),"
111.*
112",6.1,Manipur
 Men who consume alcohol (%),"
112.*
113",52.6,Manipur
