INDICATORS,NHS4,Total,States
 Women age 20-24 years married before age 18 years (%),"
15.*
16",37.9,Jharkhand
 Men age 25-29 years married before age 21 years (%),"
16.*
17",30.5,Jharkhand
 Total fertility rate (children per woman),"
17.*
18",2.6,Jharkhand
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
18.*
.*
",12.0,Jharkhand
 Infant mortality rate (IMR),"
19.*
20",44.0,Jharkhand
 Under five mortality rate (U5MR),"
20.*
",54.0,Jharkhand
 Any modern method (%),"
22.*
23",37.5,Jharkhand
 Female sterilization (%),"
23.*
24",31.1,Jharkhand
 Male sterilization (%),"
24.*
25",0.2,Jharkhand
 Total unmet need (%),"
28.*
29",18.4,Jharkhand
 Unmet need for spacing (%),"
29.*
",9.0,Jharkhand
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
33.*
34",30.3,Jharkhand
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
40.*
41",1476.0,Jharkhand
 Institutional births (%),"43.*
44",61.9,Jharkhand
 Births delivered by caesarean section (%),"
47.*
48",9.9,Jharkhand
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","50.*
.*
51",61.9,Jharkhand
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
57.*
.*
58",95.3,Jharkhand
 Children under age 6 months exclusively breastfed (%),"
66.*
67",64.8,Jharkhand
 Children under 5 years who are stunted (heightforage),"
71.*
72",45.3,Jharkhand
 Children under 5 years who are wasted (weightforheight),"
72.*
73",29.0,Jharkhand
 Children under 3 years who are underweight (%),"
74.*
",47.8,Jharkhand
 Women who are overweight or obese (%),"
77.*
78",10.3,Jharkhand
 Men who are overweight or obese (%),"
78.*
",11.1,Jharkhand
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
81.*
82",62.6,Jharkhand
 Currently married women who usually participate in three household decisions (%),"
101.*
102",86.6,Jharkhand
 Women who worked in the last 12 months and were paid in cash (%),"
102.*
103",24.8,Jharkhand
 Women owning a house and/or land (alone or jointly with others) (%),"
105.*
106",49.7,Jharkhand
 Women having a bank or savings account that they themselves use (%),"
106.*
107",45.1,Jharkhand
 Women having a mobile phone that they themselves use (%),"
107.*
108",35.2,Jharkhand
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
108.*
.*
",49.6,Jharkhand
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
103.*
104",34.0,Jharkhand
 Young women age 18-29 years who experienced sexual violence by age 18,,,Jharkhand
 Women who use any kind of tobacco (%),"
109.*
110",5.8,Jharkhand
 Men who use any kind of tobacco (%),"
110.*
111",48.6,Jharkhand
 Women who consume alcohol (%),"
111.*
112",4.1,Jharkhand
 Men who consume alcohol (%),"
112.*
113",39.3,Jharkhand
