INDICATORS,NHS4,Total,States
 Women age 20-24 years married before age 18 years (%),"
15.*
16",1.9,Lakshadweep
 Men age 25-29 years married before age 21 years (%),"
16.*
17",0.0,Lakshadweep
 Total fertility rate (children per woman),"
17.*
18",1.8,Lakshadweep
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
18.*
.*
",0.0,Lakshadweep
 Infant mortality rate (IMR),"
19.*
20",,Lakshadweep
 Under five mortality rate (U5MR),"
20.*
",,Lakshadweep
 Any modern method (%),"
22.*
23",15.7,Lakshadweep
 Female sterilization (%),"
23.*
24",10.7,Lakshadweep
 Male sterilization (%),"
24.*
25",0.0,Lakshadweep
 Total unmet need (%),"
28.*
29",16.9,Lakshadweep
 Unmet need for spacing (%),"
29.*
",12.7,Lakshadweep
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
33.*
34",82.3,Lakshadweep
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
40.*
41",4580.0,Lakshadweep
 Institutional births (%),"43.*
44",99.3,Lakshadweep
 Births delivered by caesarean section (%),"
47.*
48",38.4,Lakshadweep
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","50.*
.*
51",89.0,Lakshadweep
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
57.*
.*
58",100.0,Lakshadweep
 Children under age 6 months exclusively breastfed (%),"
66.*
67",54.8,Lakshadweep
 Children under 5 years who are stunted (heightforage),"
71.*
72",26.8,Lakshadweep
 Children under 5 years who are wasted (weightforheight),"
72.*
73",13.7,Lakshadweep
 Children under 3 years who are underweight (%),"
74.*
",23.6,Lakshadweep
 Women who are overweight or obese (%),"
77.*
78",40.6,Lakshadweep
 Men who are overweight or obese (%),"
78.*
",24.1,Lakshadweep
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
81.*
82",39.0,Lakshadweep
 Currently married women who usually participate in three household decisions (%),"
101.*
102",82.1,Lakshadweep
 Women who worked in the last 12 months and were paid in cash (%),"
102.*
103",20.9,Lakshadweep
 Women owning a house and/or land (alone or jointly with others) (%),"
105.*
106",42.6,Lakshadweep
 Women having a bank or savings account that they themselves use (%),"
106.*
107",74.4,Lakshadweep
 Women having a mobile phone that they themselves use (%),"
107.*
108",64.9,Lakshadweep
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
108.*
.*
",97.0,Lakshadweep
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
103.*
104",8.9,Lakshadweep
 Young women age 18-29 years who experienced sexual violence by age 18,,,Lakshadweep
 Women who use any kind of tobacco (%),"
109.*
110",16.4,Lakshadweep
 Men who use any kind of tobacco (%),"
110.*
111",24.7,Lakshadweep
 Women who consume alcohol (%),"
111.*
112",0.0,Lakshadweep
 Men who consume alcohol (%),"
112.*
113",5.4,Lakshadweep
