INDICATORS,NHS4,Total,States
 Women age 20-24 years married before age 18 years (%),"
15.*
16",9.8,Goa
 Men age 25-29 years married before age 21 years (%),"
16.*
17",8.4,Goa
 Total fertility rate (children per woman),"
17.*
18",1.7,Goa
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
18.*
.*
",2.9,Goa
 Infant mortality rate (IMR),"
19.*
20",,Goa
 Under five mortality rate (U5MR),"
20.*
",,Goa
 Any modern method (%),"
22.*
23",24.8,Goa
 Female sterilization (%),"
23.*
24",16.3,Goa
 Male sterilization (%),"
24.*
25",0.0,Goa
 Total unmet need (%),"
28.*
29",17.5,Goa
 Unmet need for spacing (%),"
29.*
",8.3,Goa
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
33.*
34",89.0,Goa
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
40.*
41",5012.0,Goa
 Institutional births (%),"43.*
44",96.9,Goa
 Births delivered by caesarean section (%),"
47.*
48",31.4,Goa
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","50.*
.*
51",88.4,Goa
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
57.*
.*
58",77.2,Goa
 Children under age 6 months exclusively breastfed (%),"
66.*
67",60.9,Goa
 Children under 5 years who are stunted (heightforage),"
71.*
72",20.1,Goa
 Children under 5 years who are wasted (weightforheight),"
72.*
73",21.9,Goa
 Children under 3 years who are underweight (%),"
74.*
",23.8,Goa
 Women who are overweight or obese (%),"
77.*
78",33.5,Goa
 Men who are overweight or obese (%),"
78.*
",32.6,Goa
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
81.*
82",26.7,Goa
 Currently married women who usually participate in three household decisions (%),"
101.*
102",93.8,Goa
 Women who worked in the last 12 months and were paid in cash (%),"
102.*
103",23.6,Goa
 Women owning a house and/or land (alone or jointly with others) (%),"
105.*
106",33.9,Goa
 Women having a bank or savings account that they themselves use (%),"
106.*
107",82.8,Goa
 Women having a mobile phone that they themselves use (%),"
107.*
108",80.9,Goa
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
108.*
.*
",89.3,Goa
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
103.*
104",12.9,Goa
 Young women age 18-29 years who experienced sexual violence by age 18,,,Goa
 Women who use any kind of tobacco (%),"
109.*
110",1.9,Goa
 Men who use any kind of tobacco (%),"
110.*
111",20.8,Goa
 Women who consume alcohol (%),"
111.*
112",4.2,Goa
 Men who consume alcohol (%),"
112.*
113",44.7,Goa
