INDICATORS,NHS5,Total,States
 Women age 20-24 years married before age 18 years (%),"
20.*
21",16.2,Andaman Nicobar Islands
 Men age 25-29 years married before age 21 years (%),"
21.*
22",7.1,Andaman Nicobar Islands
 Total fertility rate (children per woman),"
22.*
23",1.3,Andaman Nicobar Islands
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
23.*
24",3.0,Andaman Nicobar Islands
 Infant mortality rate (IMR),"
26.*
27",20.6,Andaman Nicobar Islands
 Under five mortality rate (U5MR),"
27.*
",24.5,Andaman Nicobar Islands
 Any modern method (%),"
29.*
30",57.7,Andaman Nicobar Islands
 Female sterilization (%),"
30.*
31",39.2,Andaman Nicobar Islands
 Male sterilization (%),"
31.*
32",0.2,Andaman Nicobar Islands
 Total unmet need (%),"
36.*
37",13.5,Andaman Nicobar Islands
 Unmet need for spacing (%),"
37.*
",6.1,Andaman Nicobar Islands
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
41.*
42",83.4,Andaman Nicobar Islands
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
47.*
48",2924.0,Andaman Nicobar Islands
 Institutional births (%),"
50.*
51",99.0,Andaman Nicobar Islands
 Births delivered by caesarean section (%),"
51.*
52",87.3,Andaman Nicobar Islands
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","
57.*
.*
58",77.8,Andaman Nicobar Islands
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
67.*
.*
68",94.9,Andaman Nicobar Islands
 Children under age 6 months exclusively breastfed (%),"
76.*
77",73.3,Andaman Nicobar Islands
 Children under 5 years who are stunted (heightforage),"
81.*
82",22.5,Andaman Nicobar Islands
 Children under 5 years who are wasted (weightforheight),"
82.*
83",16.0,Andaman Nicobar Islands
 Children under 3 years who are underweight (%),"
84.*
85",23.7,Andaman Nicobar Islands
 Women who are overweight or obese (%),"
88.*
89",38.1,Andaman Nicobar Islands
 Men who are overweight or obese (%),"
89.*
90",45.3,Andaman Nicobar Islands
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
94.*
95",53.7,Andaman Nicobar Islands
 Currently married women who usually participate in three household decisions (%),"
119.*
120",94.5,Andaman Nicobar Islands
 Women who worked in the last 12 months and were paid in cash (%),"
120.*
121",24.6,Andaman Nicobar Islands
 Women owning a house and/or land (alone or jointly with others) (%),"
121.*
122",15.8,Andaman Nicobar Islands
 Women having a bank or savings account that they themselves use (%),"
122.*
123",89.2,Andaman Nicobar Islands
 Women having a mobile phone that they themselves use (%),"
123.*
124",80.8,Andaman Nicobar Islands
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
124.*
.*
",98.9,Andaman Nicobar Islands
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
125.*
126",17.2,Andaman Nicobar Islands
 Young women age 18-29 years who experienced sexual violence by age 18,"
127.*
",1.8,Andaman Nicobar Islands
 Women who use any kind of tobacco (%),"
128.*
129",31.3,Andaman Nicobar Islands
 Men who use any kind of tobacco (%),"
129.*
130",58.7,Andaman Nicobar Islands
 Women who consume alcohol (%),"
130.*
131",5.0,Andaman Nicobar Islands
 Men who consume alcohol (%),"
131.*
24",39.1,Andaman Nicobar Islands
