INDICATORS,NHS5,Total,States
 Women age 20-24 years married before age 18 years (%),"
20.*
21",16.9,Meghalaya
 Men age 25-29 years married before age 21 years (%),"
21.*
22",17.9,Meghalaya
 Total fertility rate (children per woman),"
22.*
23",2.9,Meghalaya
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
23.*
24",7.2,Meghalaya
 Infant mortality rate (IMR),"
26.*
27",32.3,Meghalaya
 Under five mortality rate (U5MR),"
27.*
",40.0,Meghalaya
 Any modern method (%),"
29.*
30",22.5,Meghalaya
 Female sterilization (%),"
30.*
31",5.6,Meghalaya
 Male sterilization (%),"
31.*
32",0.0,Meghalaya
 Total unmet need (%),"
36.*
37",26.9,Meghalaya
 Unmet need for spacing (%),"
37.*
",18.3,Meghalaya
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
41.*
42",52.2,Meghalaya
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
47.*
48",3219.0,Meghalaya
 Institutional births (%),"
50.*
51",58.1,Meghalaya
 Births delivered by caesarean section (%),"
51.*
52",49.1,Meghalaya
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","
57.*
.*
58",63.8,Meghalaya
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
67.*
.*
68",93.6,Meghalaya
 Children under age 6 months exclusively breastfed (%),"
76.*
77",42.7,Meghalaya
 Children under 5 years who are stunted (heightforage),"
81.*
82",46.5,Meghalaya
 Children under 5 years who are wasted (weightforheight),"
82.*
83",12.1,Meghalaya
 Children under 3 years who are underweight (%),"
84.*
85",26.6,Meghalaya
 Women who are overweight or obese (%),"
88.*
89",11.5,Meghalaya
 Men who are overweight or obese (%),"
89.*
90",13.9,Meghalaya
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
94.*
95",45.0,Meghalaya
 Currently married women who usually participate in three household decisions (%),"
119.*
120",92.3,Meghalaya
 Women who worked in the last 12 months and were paid in cash (%),"
120.*
121",40.0,Meghalaya
 Women owning a house and/or land (alone or jointly with others) (%),"
121.*
122",65.0,Meghalaya
 Women having a bank or savings account that they themselves use (%),"
122.*
123",70.4,Meghalaya
 Women having a mobile phone that they themselves use (%),"
123.*
124",67.5,Meghalaya
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
124.*
.*
",64.9,Meghalaya
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
125.*
126",16.0,Meghalaya
 Young women age 18-29 years who experienced sexual violence by age 18,"
127.*
",6.7,Meghalaya
 Women who use any kind of tobacco (%),"
128.*
129",28.2,Meghalaya
 Men who use any kind of tobacco (%),"
129.*
130",57.7,Meghalaya
 Women who consume alcohol (%),"
130.*
131",1.5,Meghalaya
 Men who consume alcohol (%),"
131.*
24",32.4,Meghalaya
