INDICATORS,NHS5,Total,States
 Women age 20-24 years married before age 18 years (%),"
20.*
21",23.5,Telangana
 Men age 25-29 years married before age 21 years (%),"
21.*
22",16.3,Telangana
 Total fertility rate (children per woman),"
22.*
23",1.8,Telangana
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
23.*
24",5.8,Telangana
 Infant mortality rate (IMR),"
26.*
27",26.4,Telangana
 Under five mortality rate (U5MR),"
27.*
",29.4,Telangana
 Any modern method (%),"
29.*
30",66.7,Telangana
 Female sterilization (%),"
30.*
31",61.9,Telangana
 Male sterilization (%),"
31.*
32",2.0,Telangana
 Total unmet need (%),"
36.*
37",6.4,Telangana
 Unmet need for spacing (%),"
37.*
",2.8,Telangana
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
41.*
42",70.4,Telangana
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
47.*
48",3846.0,Telangana
 Institutional births (%),"
50.*
51",97.0,Telangana
 Births delivered by caesarean section (%),"
51.*
52",49.7,Telangana
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","
57.*
.*
58",79.1,Telangana
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
67.*
.*
68",94.1,Telangana
 Children under age 6 months exclusively breastfed (%),"
76.*
77",68.2,Telangana
 Children under 5 years who are stunted (heightforage),"
81.*
82",33.1,Telangana
 Children under 5 years who are wasted (weightforheight),"
82.*
83",21.7,Telangana
 Children under 3 years who are underweight (%),"
84.*
85",31.8,Telangana
 Women who are overweight or obese (%),"
88.*
89",30.1,Telangana
 Men who are overweight or obese (%),"
89.*
90",32.3,Telangana
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
94.*
95",53.2,Telangana
 Currently married women who usually participate in three household decisions (%),"
119.*
120",87.2,Telangana
 Women who worked in the last 12 months and were paid in cash (%),"
120.*
121",45.1,Telangana
 Women owning a house and/or land (alone or jointly with others) (%),"
121.*
122",66.6,Telangana
 Women having a bank or savings account that they themselves use (%),"
122.*
123",84.4,Telangana
 Women having a mobile phone that they themselves use (%),"
123.*
124",60.0,Telangana
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
124.*
.*
",92.1,Telangana
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
125.*
126",36.9,Telangana
 Young women age 18-29 years who experienced sexual violence by age 18,"
127.*
",5.0,Telangana
 Women who use any kind of tobacco (%),"
128.*
129",5.6,Telangana
 Men who use any kind of tobacco (%),"
129.*
130",22.3,Telangana
 Women who consume alcohol (%),"
130.*
131",6.7,Telangana
 Men who consume alcohol (%),"
131.*
24",43.3,Telangana
