INDICATORS,NHS5,Total,States
 Women age 20-24 years married before age 18 years (%),"
20.*
21",21.9,Maharashtra
 Men age 25-29 years married before age 21 years (%),"
21.*
22",10.5,Maharashtra
 Total fertility rate (children per woman),"
22.*
23",1.7,Maharashtra
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
23.*
24",7.6,Maharashtra
 Infant mortality rate (IMR),"
26.*
27",23.2,Maharashtra
 Under five mortality rate (U5MR),"
27.*
",28.0,Maharashtra
 Any modern method (%),"
29.*
30",63.8,Maharashtra
 Female sterilization (%),"
30.*
31",49.1,Maharashtra
 Male sterilization (%),"
31.*
32",0.4,Maharashtra
 Total unmet need (%),"
36.*
37",9.6,Maharashtra
 Unmet need for spacing (%),"
37.*
",3.9,Maharashtra
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
41.*
42",70.3,Maharashtra
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
47.*
48",2966.0,Maharashtra
 Institutional births (%),"
50.*
51",94.7,Maharashtra
 Births delivered by caesarean section (%),"
51.*
52",55.8,Maharashtra
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","
57.*
.*
58",73.5,Maharashtra
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
67.*
.*
68",89.5,Maharashtra
 Children under age 6 months exclusively breastfed (%),"
76.*
77",71.0,Maharashtra
 Children under 5 years who are stunted (heightforage),"
81.*
82",35.2,Maharashtra
 Children under 5 years who are wasted (weightforheight),"
82.*
83",25.6,Maharashtra
 Children under 3 years who are underweight (%),"
84.*
85",36.1,Maharashtra
 Women who are overweight or obese (%),"
88.*
89",23.4,Maharashtra
 Men who are overweight or obese (%),"
89.*
90",24.7,Maharashtra
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
94.*
95",45.7,Maharashtra
 Currently married women who usually participate in three household decisions (%),"
119.*
120",89.8,Maharashtra
 Women who worked in the last 12 months and were paid in cash (%),"
120.*
121",34.7,Maharashtra
 Women owning a house and/or land (alone or jointly with others) (%),"
121.*
122",22.9,Maharashtra
 Women having a bank or savings account that they themselves use (%),"
122.*
123",72.8,Maharashtra
 Women having a mobile phone that they themselves use (%),"
123.*
124",54.8,Maharashtra
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
124.*
.*
",84.8,Maharashtra
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
125.*
126",25.2,Maharashtra
 Young women age 18-29 years who experienced sexual violence by age 18,"
127.*
",6.2,Maharashtra
 Women who use any kind of tobacco (%),"
128.*
129",10.9,Maharashtra
 Men who use any kind of tobacco (%),"
129.*
130",33.8,Maharashtra
 Women who consume alcohol (%),"
130.*
131",0.4,Maharashtra
 Men who consume alcohol (%),"
131.*
24",13.9,Maharashtra
