INDICATORS,NHS5,Total,States
 Women age 20-24 years married before age 18 years (%),"
20.*
21",12.5,Haryana
 Men age 25-29 years married before age 21 years (%),"
21.*
22",16.0,Haryana
 Total fertility rate (children per woman),"
22.*
23",1.9,Haryana
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
23.*
24",3.9,Haryana
 Infant mortality rate (IMR),"
26.*
27",33.3,Haryana
 Under five mortality rate (U5MR),"
27.*
",38.7,Haryana
 Any modern method (%),"
29.*
30",60.5,Haryana
 Female sterilization (%),"
30.*
31",32.3,Haryana
 Male sterilization (%),"
31.*
32",0.9,Haryana
 Total unmet need (%),"
36.*
37",7.6,Haryana
 Unmet need for spacing (%),"
37.*
",3.3,Haryana
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
41.*
42",60.4,Haryana
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
47.*
48",1666.0,Haryana
 Institutional births (%),"
50.*
51",94.9,Haryana
 Births delivered by caesarean section (%),"
51.*
52",57.5,Haryana
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","
57.*
.*
58",76.9,Haryana
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
67.*
.*
68",96.9,Haryana
 Children under age 6 months exclusively breastfed (%),"
76.*
77",69.5,Haryana
 Children under 5 years who are stunted (heightforage),"
81.*
82",27.5,Haryana
 Children under 5 years who are wasted (weightforheight),"
82.*
83",11.5,Haryana
 Children under 3 years who are underweight (%),"
84.*
85",21.5,Haryana
 Women who are overweight or obese (%),"
88.*
89",33.1,Haryana
 Men who are overweight or obese (%),"
89.*
90",28.3,Haryana
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
94.*
95",56.5,Haryana
 Currently married women who usually participate in three household decisions (%),"
119.*
120",87.5,Haryana
 Women who worked in the last 12 months and were paid in cash (%),"
120.*
121",18.8,Haryana
 Women owning a house and/or land (alone or jointly with others) (%),"
121.*
122",39.3,Haryana
 Women having a bank or savings account that they themselves use (%),"
122.*
123",73.6,Haryana
 Women having a mobile phone that they themselves use (%),"
123.*
124",50.4,Haryana
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
124.*
.*
",93.2,Haryana
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
125.*
126",18.2,Haryana
 Young women age 18-29 years who experienced sexual violence by age 18,"
127.*
",0.4,Haryana
 Women who use any kind of tobacco (%),"
128.*
129",2.5,Haryana
 Men who use any kind of tobacco (%),"
129.*
130",29.1,Haryana
 Women who consume alcohol (%),"
130.*
131",0.3,Haryana
 Men who consume alcohol (%),"
131.*
24",16.1,Haryana
