INDICATORS,NHS5,Total,States
 Women age 20-24 years married before age 18 years (%),"
20.*
21",6.5,Puducherry
 Men age 25-29 years married before age 21 years (%),"
21.*
22",6.5,Puducherry
 Total fertility rate (children per woman),"
22.*
23",1.5,Puducherry
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
23.*
24",4.1,Puducherry
 Infant mortality rate (IMR),"
26.*
27",2.9,Puducherry
 Under five mortality rate (U5MR),"
27.*
",3.9,Puducherry
 Any modern method (%),"
29.*
30",62.1,Puducherry
 Female sterilization (%),"
30.*
31",53.8,Puducherry
 Male sterilization (%),"
31.*
32",0.3,Puducherry
 Total unmet need (%),"
36.*
37",10.5,Puducherry
 Unmet need for spacing (%),"
37.*
",3.2,Puducherry
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
41.*
42",86.9,Puducherry
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
47.*
48",3259.0,Puducherry
 Institutional births (%),"
50.*
51",99.6,Puducherry
 Births delivered by caesarean section (%),"
51.*
52",76.6,Puducherry
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","
57.*
.*
58",82.0,Puducherry
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
67.*
.*
68",97.1,Puducherry
 Children under age 6 months exclusively breastfed (%),"
76.*
77",64.8,Puducherry
 Children under 5 years who are stunted (heightforage),"
81.*
82",20.0,Puducherry
 Children under 5 years who are wasted (weightforheight),"
82.*
83",12.4,Puducherry
 Children under 3 years who are underweight (%),"
84.*
85",15.3,Puducherry
 Women who are overweight or obese (%),"
88.*
89",46.2,Puducherry
 Men who are overweight or obese (%),"
89.*
90",43.3,Puducherry
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
94.*
95",42.5,Puducherry
 Currently married women who usually participate in three household decisions (%),"
119.*
120",97.9,Puducherry
 Women who worked in the last 12 months and were paid in cash (%),"
120.*
121",38.2,Puducherry
 Women owning a house and/or land (alone or jointly with others) (%),"
121.*
122",37.3,Puducherry
 Women having a bank or savings account that they themselves use (%),"
122.*
123",92.6,Puducherry
 Women having a mobile phone that they themselves use (%),"
123.*
124",82.9,Puducherry
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
124.*
.*
",99.1,Puducherry
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
125.*
126",30.5,Puducherry
 Young women age 18-29 years who experienced sexual violence by age 18,"
127.*
",0.0,Puducherry
 Women who use any kind of tobacco (%),"
128.*
129",2.6,Puducherry
 Men who use any kind of tobacco (%),"
129.*
130",14.8,Puducherry
 Women who consume alcohol (%),"
130.*
131",0.3,Puducherry
 Men who consume alcohol (%),"
131.*
24",27.7,Puducherry
